condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
paired,96,B,True,1.0649,25.819963502356448,left,1514530970,2063034652,15.02824284041334,2.5016821322628764,0.0,0.5213664486318775,False,10649,407
paired,97,B,True,0.8833000000000001,21.552768996883458,right,801634323,869938001,12.001920566560806,-3.306066782160255,0.0,0.5312159920359546,False,8833,389
paired,98,B,True,0.8939,21.81068479761212,right,3748907106,411485570,12.001165991361026,-4.095103280422401,0.0,0.5398923653076194,False,8939,390
paired,99,B,True,0.8548,21.01545045388526,right,2992951274,3925740632,12.007844609849743,-2.5025361079160855,0.0,0.5458431038198873,False,8548,386
unpaired,0,B,True,0.8848,21.59731998519921,right,955475868,2752441786,12.001144362535014,-3.7519957816724094,0.0,0.0,False,8848,389
unpaired,1,A,True,0.8626,21.072070707490024,left,1385871029,768476226,12.001399306664235,-2.877024504248009,0.0,0.0,False,8626,387
unpaired,2,B,True,1.4325,34.32978272568157,right,1939820029,3245613808,20.203148230639265,-2.5013932639632963,0.0,0.0,False,14325,444
unpaired,3,A,True,0.8627,21.016427665011378,left,627778343,2952116957,12.000778322953737,-2.526276715632551,0.0,0.0,False,8627,387
unpaired,4,B,True,0.8668,21.118197670174787,right,2097342444,1126870124,12.000975978249887,-3.0033956293068518,0.0,0.0,False,8668,387
unpaired,5,B,True,1.4778,35.42024606887556,left,142140079,896875574,20.980734783810448,2.5007252879816417,0.0,0.0,False,14778,448
unpaired,6,A,True,1.7981,42.81233715640952,right,2715768615,2175957017,24.873085348006438,2.5018413794935284,0.0,0.0,False,17981,480
unpaired,7,none,False,,47.54080023688389,right,489233195,2267604127,28.226975623664877,1.5235291090698335,0.0,0.0,False,20000,500
unpaired,8,A,True,0.9332,22.699016011373665,left,2839235966,318932432,13.042951606397434,-2.5000481292662866,0.0,0.0,False,9332,394
unpaired,9,B,True,0.8581000000000001,21.067872636241564,right,2230699753,3608365212,12.020815660793538,-2.5005205040893688,0.0,0.0,False,8581,386
unpaired,10,A,True,0.8956000000000001,21.76545197822503,right,2642074040,749716156,12.000267340280127,3.0457181936029323,0.0,0.0,False,8956,390
unpaired,11,none,False,,47.697604401560675,right,2170551254,2963343449,28.407887505986483,-0.42570779634328926,0.0,0.0,False,20000,500
unpaired,12,none,False,,47.67976853784545,left,838615200,1067313526,28.026086334321704,2.191368837258232,0.0,0.0,False,20000,500
unpaired,13,none,False,,47.468808352154,left,4022105731,2830433309,27.75325381615076,1.0612494412321283,0.0,0.0,False,20000,500
unpaired,14,A,True,1.1899,28.63087599388283,left,3027646511,834417383,16.365778202307073,-2.5025299473441094,0.0,0.0,False,11899,419
unpaired,15,B,True,0.8589,20.985690259837142,right,2213083668,3818858139,12.000668481365176,-2.7466461909225477,0.0,0.0,False,8589,386
